ts_ms,cache,ttfb_ms,bytes,model,hash
1756329157601,api,718,1161971,eleven_turbo_v2,9ef9949cd06dbd07948bf36f3c534800b378b506
1756329161078,api,698,1127698,eleven_turbo_v2,08d13880848641c27b9fdfdd68ab02f1e397de99
1756329164450,api,780,1097187,eleven_turbo_v2,0575d97452f4f0fc7a501ddf01ef95eea4c65833
1756329167757,api,701,1081723,eleven_turbo_v2,f779ddd085cd3bf3347b4e2150fbe87bc1bce374
1756329170031,api,771,147456,eleven_turbo_v2,67caa709f12cac5b13772665529a10b951ce89e3
1756332042694,disk,0,1115160,eleven_turbo_v2,c23afd2a4a77b32904cc3e1d4a35503d0a4cc52c
1756332246139,disk,0,1115160,eleven_turbo_v2,c23afd2a4a77b32904cc3e1d4a35503d0a4cc52c
1756332246142,disk,0,1161971,eleven_turbo_v2,9ef9949cd06dbd07948bf36f3c534800b378b506
1756332246146,disk,0,1127698,eleven_turbo_v2,08d13880848641c27b9fdfdd68ab02f1e397de99
1756332246149,disk,0,1097187,eleven_turbo_v2,0575d97452f4f0fc7a501ddf01ef95eea4c65833
1756332246151,disk,0,1081723,eleven_turbo_v2,f779ddd085cd3bf3347b4e2150fbe87bc1bce374
1756332246163,disk,0,147456,eleven_turbo_v2,67caa709f12cac5b13772665529a10b951ce89e3
1756332260167,api,860,598016,eleven_turbo_v2,1ee7659fbd4b73b9ef42afd7bf75cd6a11cce417
1756339237526,disk,0,8192,eleven_turbo_v2,b33f97a65fc14e0e743828bde0c79eeeb4e77e16
1756339254095,api,219,0,eleven_turbo_v2,b2a55398ef776cf5cbad0baa8746fa732f12df28
1756339254174,api,77,0,eleven_turbo_v2,e8fe741a21168e21d95b496fb8e796491e124fac
1756339254246,api,71,0,eleven_turbo_v2,6bd7ec70bfde9f0c18b771da55e452d97282f310
1756339254307,api,61,0,eleven_turbo_v2,e3059d46d44ad360b962a424c34bac21aec7d125
1756339254395,api,71,0,eleven_turbo_v2,d68649b9898d6b6a9574aa350e93a0a282886c55
1756339254466,api,71,0,eleven_turbo_v2,62ac6d144ccfea5b28022aab8785a528f240fb36
1756339254570,api,93,0,eleven_turbo_v2,0de980ad81eb40889edd424c2a9b025460d52f5c
1756339254664,api,88,0,eleven_turbo_v2,04a8d1fcec2710a38d9c8802d30577897b13000b
1756339254714,api,48,0,eleven_turbo_v2,667004c5c5857061173da49f6c9de06645e4dcb3
1756339254782,api,68,0,eleven_turbo_v2,e7ab13d288f46b721ab487226f114f2317633215
1756339254871,api,87,0,eleven_turbo_v2,caaa8097b2efb177d541681757b52d09c6f56b8d
1756339254966,api,94,0,eleven_turbo_v2,a986052dc175baa16026effac79b74bdead8daf9
1756339255078,api,111,0,eleven_turbo_v2,d19f629dc59e081e80a5c6517aaedea1354c2f43
1756339255214,api,135,0,eleven_turbo_v2,a88c499928220227df98ad2f9a49fb1256f1788e
1756339255331,api,115,0,eleven_turbo_v2,4190f48908851e818965de8e1c3e802615fb4ea1
1756339255424,api,92,0,eleven_turbo_v2,aba443ef72a1cf97657de0fb4133dc417e51b8b7
1756339255507,api,83,0,eleven_turbo_v2,e9b4f9a190882d2c9edb93271b10cd6157ad3f55
1756339255584,api,76,0,eleven_turbo_v2,96044f37d054e0fa4515c7976ee45354c5c738a4
1756339255659,api,68,0,eleven_turbo_v2,85c4c760f81757ff1a8d1e1ae4ec31a072b07b1f
1756339255768,api,108,0,eleven_turbo_v2,8c56eca998d9aada77a198244c2c4a2be05c8b27
1756339255824,api,56,0,eleven_turbo_v2,f39999169c7441b30c1dd78c808b014f522afb2d
1756339255894,api,69,0,eleven_turbo_v2,35d99c24528986b0ebcddd5605fa3450a8437003
1756339255949,api,55,0,eleven_turbo_v2,fc33981137e35aaacea11fae59110668278852a1
1756339256023,api,73,0,eleven_turbo_v2,9f922771ab7ded609f2c33fbd4ed3cb5adcb1d9a
1756339256075,api,52,0,eleven_turbo_v2,499bd655587c2a68dad6dc301c493cb82f292510
1756339256205,api,130,0,eleven_turbo_v2,128d105562c152ca60d97ac52c7098513aeb09e3
1756339256324,api,118,0,eleven_turbo_v2,7b4e11d3c2835491f82c219043268c95c3eba33c
1756339256424,api,99,0,eleven_turbo_v2,ae2d02d23a0b14095d60efdc10f59116328a50e9
1756339256493,api,53,0,eleven_turbo_v2,fb90c52d8d5b7e1af97db74b10d90b014f19d6dc
1756339256588,api,95,0,eleven_turbo_v2,708eeed464d2d25e405f209c8503856b9aa2010a
1756339256641,api,52,0,eleven_turbo_v2,c5f113b06a7a8be36f2fca56c25509fa21233140
1756339256715,api,74,0,eleven_turbo_v2,f99ae5a9e44dc34187c61cd9943fe4e08e05a8ca
1756339256776,api,59,0,eleven_turbo_v2,68850fc0f8f7afdf57a5f6916a5ec6be883a5752
1756339256842,api,64,0,eleven_turbo_v2,c604bdd57ae1dd7436177f51a6d353a6eeee0152
1756339256966,api,122,0,eleven_turbo_v2,fd9a266da98e4552e4e02d322473817507220b98
1756339257027,api,60,0,eleven_turbo_v2,0994682f72a77b354fc73a49b650caec0ab75c43
1756339257166,api,138,0,eleven_turbo_v2,af98f6d444df8a1296507f0156f19a34aee41146
1756339257240,api,74,0,eleven_turbo_v2,157e1c8db3d835e7d4f37d7f5d569fccd3f15e44
1756339257292,api,50,0,eleven_turbo_v2,41d879d4c44c7734c0e7a123b3d53bcabc39a6db
1756339257379,api,85,0,eleven_turbo_v2,4a57b9dd734a7c0741187c06157b5829674fc4e4
1756339257456,api,77,0,eleven_turbo_v2,958b5e2ba17052e45ee7df949e04160306e54b83
1756339257559,api,100,0,eleven_turbo_v2,6afc89ded3ad4b0498c91fde53cd330799cf18ba
1756339257697,api,137,0,eleven_turbo_v2,1c0fcecd934db8091cf95ff5a6f4738f5f6c1499
1756339257843,api,146,0,eleven_turbo_v2,3178055de674d1b0e52957cf28797f03c7b848d5
1756339257899,api,53,0,eleven_turbo_v2,ceacac2842f71b5e74baf344ac656a9b23433121
1756339257959,api,57,0,eleven_turbo_v2,1c1e50a1ed8e25ea84ebe53600ecb15dbba92ea0
1756339258088,api,128,0,eleven_turbo_v2,136028a27a0900e63fa08b40c4549b25b8995dd3
1756339258188,api,99,0,eleven_turbo_v2,d61d7ca5ea2aade0f8b0f7ddc7ca8e6c7336f2a6
1756339258252,api,64,0,eleven_turbo_v2,0b5aac5aca9f6c52c3b79ac4efc7e6222ac480b3
1756339258339,api,86,0,eleven_turbo_v2,9fd8b571179d3ef3a5f808d4af4f1bd9726f20cb
1756339258408,api,69,0,eleven_turbo_v2,db22c406853699cd01e89f06102526f5a7412d2b
1756339258459,api,49,0,eleven_turbo_v2,2cd6871d3b9cfadce65ebc460034e1f08825b51a
1756339258545,api,74,0,eleven_turbo_v2,0d1950ec195f0de58589c09950b9de6e4ee47857
1756339258629,api,83,0,eleven_turbo_v2,3af6e477e0680fb3aedc9fa6cbbe3e4cdbfdd312
1756339258708,api,79,0,eleven_turbo_v2,cf5ff2c242031b6e986ff0925b38ecee4d2db9e3
1756339258822,api,114,0,eleven_turbo_v2,11c8ef0f5a81f3888c278312afbd236d9a630b08
1756339258894,api,71,0,eleven_turbo_v2,7248fae6f1a32227271cb5058eadc7cda23f9c8c
1756339325528,api,172,0,eleven_turbo_v2,73a6b1d32bb2ed663043696f911ee0148630001e
1756339345641,api,33,0,eleven_turbo_v2,73a6b1d32bb2ed663043696f911ee0148630001e
1756339346041,api,200,0,eleven_turbo_v2,73a6b1d32bb2ed663043696f911ee0148630001e
1756339509509,disk,0,8192,eleven_turbo_v2,b33f97a65fc14e0e743828bde0c79eeeb4e77e16
1756339515991,api,281,0,eleven_turbo_v2,d8b624953c44b1a61db2f5b7ecf841a3a1c682c3
1756339687955,api,261,0,eleven_turbo_v2,b2a55398ef776cf5cbad0baa8746fa732f12df28
1756339688065,api,94,0,eleven_turbo_v2,e8fe741a21168e21d95b496fb8e796491e124fac
1756339688122,api,57,0,eleven_turbo_v2,6bd7ec70bfde9f0c18b771da55e452d97282f310
1756339688192,api,69,0,eleven_turbo_v2,e3059d46d44ad360b962a424c34bac21aec7d125
1756339688257,api,65,0,eleven_turbo_v2,d68649b9898d6b6a9574aa350e93a0a282886c55
1756339688324,api,66,0,eleven_turbo_v2,62ac6d144ccfea5b28022aab8785a528f240fb36
1756339688393,api,69,0,eleven_turbo_v2,0de980ad81eb40889edd424c2a9b025460d52f5c
1756339688458,api,65,0,eleven_turbo_v2,04a8d1fcec2710a38d9c8802d30577897b13000b
1756339688506,api,46,0,eleven_turbo_v2,667004c5c5857061173da49f6c9de06645e4dcb3
1756339688575,api,68,0,eleven_turbo_v2,e7ab13d288f46b721ab487226f114f2317633215
1756339688624,api,47,0,eleven_turbo_v2,caaa8097b2efb177d541681757b52d09c6f56b8d
1756339688695,api,70,0,eleven_turbo_v2,a986052dc175baa16026effac79b74bdead8daf9
1756339688801,api,106,0,eleven_turbo_v2,d19f629dc59e081e80a5c6517aaedea1354c2f43
1756339688866,api,63,0,eleven_turbo_v2,a88c499928220227df98ad2f9a49fb1256f1788e
1756339688934,api,67,0,eleven_turbo_v2,4190f48908851e818965de8e1c3e802615fb4ea1
1756339689066,api,130,0,eleven_turbo_v2,aba443ef72a1cf97657de0fb4133dc417e51b8b7
1756339689128,api,62,0,eleven_turbo_v2,e9b4f9a190882d2c9edb93271b10cd6157ad3f55
1756339689205,api,77,0,eleven_turbo_v2,96044f37d054e0fa4515c7976ee45354c5c738a4
1756339689257,api,52,0,eleven_turbo_v2,85c4c760f81757ff1a8d1e1ae4ec31a072b07b1f
1756339689332,api,75,0,eleven_turbo_v2,8c56eca998d9aada77a198244c2c4a2be05c8b27
1756339689390,api,57,0,eleven_turbo_v2,f39999169c7441b30c1dd78c808b014f522afb2d
1756339689470,api,64,0,eleven_turbo_v2,35d99c24528986b0ebcddd5605fa3450a8437003
1756339689565,api,94,0,eleven_turbo_v2,fc33981137e35aaacea11fae59110668278852a1
